"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug","pred"
15.7259851894341,2.51600987371057,0,15.0409481630195,31.2740148105659,79.6068346153479,13.7989530998748,2.24199506314471,11.5569580367301,0.837461237611666,475.045569919981,1,1.86299259471707,0.370280654414824,0.301625788801496,0.620997531572357,0.620997531572357,33.7722276658297,11.8309728472959,1.96842909437998,"1","1"
7,1,0,3,13,0,0,3,7,0.166666667,41,0,0,0,0.428571429,0,0,4.714285714,1,0.8571,"0","0"
6,5,0,8,25,9,1,8,2,0.7,214,1,5,0.98940678,0.444444444,0,0,33.66666667,3,1.5,"0","0"
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,"0","0"
18,1,0,23,29,105,21,3,18,0.865546218,234,1,3,0,0.180555556,1,1,11.61111111,16,2,"1","1"
18,1,0,23,29,105,21,3,18,0.865546218,234,1,3,0,0.180555556,1,1,11.61111111,16,2,"1","1"
14,1,0,13,15,75,12,1,14,0.91025641,68,1,1,0,0.285714286,0,0,3.428571429,1,0.9286,"1","1"
53,5,0,14,105,1058,5,13,3,0.916239316,2451,1,6,0.899807322,0.211320755,0,0,44.39622642,14,1.6604,"1","1"
2,1,0,5,2,1,4,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0"
27,5,0,13,82,191,5,13,1,0.881410256,1132,1,4,0.947261663,0.191358025,0,0,40.03703704,6,1.9259,"0","0"
7,1,0,8,28,1,0,8,7,0.333333333,130,0,0,0,0.428571429,0,0,17.42857143,3,1.1429,"1","0"
2,1,0,7,2,1,6,1,2,2,2,0,0,0,0.75,0,0,0,1,1,"0","0"
4.11662319279276,5.08589409175329,0,15.9203991196118,22.2332463855855,11.2213969186414,14.0614582020789,12.6871527340263,2.20251728454605,1.00572627281218,233.251389063895,1,0.914105908246711,0.993416814285685,0.428816491233063,0,0,71.3900421323633,1,0.689960120046791,"1","1"
10,5,0,6,31,17,4,4,2,0.793650794,183,1,2,0.983157895,0.28,0,0,16.6,2,1,"0","0"
17,5,0,11,56,56,4,11,1,0.8515625,658,1,4,0.966873706,0.235294118,0,0,36.76470588,6,1.9412,"0","1"
15.5675133978948,1,0,16.918783494737,20.4862968926318,86.756350484211,15.5269051452633,1.7837566989474,15.5675133978948,0.892735453754388,133.051806012634,1,1.7837566989474,0,0.24450485645485,0.3918783494737,0.3918783494737,6.63513157369333,6.8781752421055,1.34845846362612,"1","1"
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,"0","0"
5,5,0,6,22,0,3,3,3,0.678571429,256,1,1,0.991507431,0.6,0,0,48.8,2,1,"0","0"
10,1,0,21,12,0,13,8,9,0.611111111,69,1,1,0,0.5,0,0,5.7,2,1,"0","1"
2,1,0,4,10,1,0,4,2,2,28,0,0,0,0.5,0,0,13,1,0.5,"0","0"
4,1,0,3,8,0,0,3,4,0.333333333,23,0,0,0,0.5,0,0,4.5,1,0.75,"0","0"
