wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
47,6,0,11,95,707,6,9,1,0.913647343,1791,1,4,0.931649331,0.237588652,0,0,36.34042553,7,2.234,1
26,6,0,10,80,189,6,8,3,0.834,938,0.85,4,0.964615385,0.230769231,0,0,34.30769231,2,1.5,1
33,6,0,8,93,330,4,7,2,0.878125,1412,1,3,0.952887538,0.218181818,0,0,40.87878788,3,1.5152,1
19,1,0,15,44,97,12,3,14,0.711111111,1760,1,2,0,0.315789474,0,0,91.36842105,1,0.9474,1
19,1,0,15,44,97,12,3,14,0.711111111,1760,1,2,0,0.315789474,0,0,91.36842105,1,0.9474,1
20,6,0,20,67,118,17,7,5,0.857585139,665,1,3,0.972093023,0.23,0,0,31.4,2,1.5,1
8,6,0,5,44,14,5,2,1,0.761904762,276,1,0,0.988958991,0.5,0,0,32.75,5,1.875,1
26,6,0,10,80,189,6,8,3,0.834,938,0.85,4,0.964615385,0.230769231,0,0,34.30769231,2,1.5,1
6,6,0,0,27,7,0,0,1,0.7,177,1,0,0.992088608,1,0,0,27.5,2,1.5,0
2,1,0,3,17,1,0,3,2,2,95,0,0,0,0.5,0,0,46.5,2,1,0
25,1,0,42,40,150,39,3,23,0.791666667,347,1,0,0,0.182222222,0,0,12.56,3,0.96,0
11,1,0,3,12,25,3,0,11,0.8,69,1,0,0,0.545454545,0,0,4.818181818,1,0.9091,0
16,6,0,0,42,92,0,0,1,0.875362319,841,1,0,0.976635514,1,0,0,50.125,2,1.8125,0
1,1,0,0,2,0,0,0,1,2,4,0,0,0,1,0,0,3,0,0,0
12,1,0,2,17,56,1,1,11,0.836363636,160,1,0,0,0.375,0,0,11.91666667,1,0.9167,0
8,1,0,6,14,0,5,1,8,0.619047619,66,1,1,0,0.458333333,0,0,6.875,1,0.875,0
2,3,0,0,4,1,0,0,2,2,10,1,0,1,0.75,0,0,3.5,0,0,0
6,1,0,5,18,0,4,1,6,0,77,1,0,0,0.375,0,0,11.66666667,2,1.1667,0
1.925844206,1.925844206,0,0,6.629221029,1.296181888,0,0,1,1.759280506,36.03420952,0.185168841,0,0.183703898,1,0,0,7.536636608,0.370337682,0.277753262,0
1.545393388,1.545393388,0,0,4.72696694,0.763550743,0,0,1,1.858197719,22.87061123,0.109078678,0,0.108215713,1,0,0,5.672427601,0.218157355,0.163618016,0
2,1,0,3,17,1,0,3,2,2,95,0,0,0,0.5,0,0,46.5,2,1,0
2.866959268,1.30962831,0,2.814223014,18.54814155,6.63523524,0,2.814223014,1.938074338,1.930356067,141.1965438,0.061925662,0,0.060478801,0.530962831,0,0,46.72448052,2,1.0503146,0
23.04049945,1,0,36.54139132,36.0809989,132.5044594,33.9612843,2.580107025,21.3204281,0.792833036,308.0899176,1,0,0,0.233061789,0,0,11.47642164,2.72007135,0.952875816,0
23.76582957,1.685650238,0,36.240538,40.2742601,142.0464572,33.65192814,2.588609857,19.98313895,0.803143856,414.7422435,1,0,0.133926075,0.294364128,0,0,17.71129024,2.862869952,1.076903366,0
9.341059678,1,0,3,12.92163351,20.57615914,2.447019893,0.552980107,9.341059678,1.021192043,73.79249426,0.815673298,0,0,0.537076059,0,0,12.50125392,1.184326702,0.925855297,0
8.562571404,1,0,3,13.354127,18.50019041,2.187523801,0.812476199,8.562571404,1.124990479,76.04146039,0.7291746,0,0,0.5331443,0,0,16.10667688,1.2708254,0.933718029,0
15.66174888,5.661748878,0,0.202950673,39.97049327,87.46743497,0.202950673,0,1.676502243,0.870264041,788.7740268,1,0,0.910565902,0.969249898,0,0,47.05998359,1.932349776,1.751384787,0
12.42996759,2.429967593,0,2.142019444,20.57980556,44.16156574,2.142019444,0,8.140064815,0.821553135,289.7869963,1,0,0.279311427,0.675451599,0,0,17.77563816,1.285993519,1.167466545,0
5.467381259,1,0,7.817917204,9.073353661,27.92113287,7.259494547,0.558422657,5.095099488,1.775079763,67.84632383,0.186140886,0,0,0.84777812,0,0,4.779506868,0.558422657,0.17869525,0
12.35483387,1,0,19.87095927,19.97848696,70.96771169,18.45160504,1.419354234,11.40859772,1.428315656,166.2795007,0.473118078,0,0,0.613094549,0,0,7.523008825,1.419354234,0.454193355,0
12.81971747,2.024646835,0,1.590141266,22.12323417,63.37745721,0.795070633,0.795070633,8.950706331,0.844355611,299.5568989,1,0,0.200141298,0.503080854,0,0,19.74667623,1.204929367,1.100275727,0
11.54294346,1,0,1.916898812,16.37674109,53.67316673,0.958449406,0.958449406,10.58449406,0.884713418,153.5181073,0.958449406,0,0,0.400969121,0,0,11.54617387,0.958449406,0.87861057,0
2.007500953,1,0,3.003750476,16.99624952,0.998749841,0.006250794,2.997499682,2.007500953,1.99827359,94.9637454,0.001250159,0.001250159,0,0.49994791,0,0,46.45046246,1.998749841,0.99984373,0
3.587746162,1,0,3.793873081,16.20612692,0.73537564,1.323121801,2.470751279,3.587746162,1.63456636,87.32589355,0.26462436,0.26462436,0,0.488973985,0,0,36.01425973,1.73537564,0.966921955,0
24.40290653,1.051921172,0,40.9096554,39.06541891,146.1318727,37.98753715,2.922118243,22.4548277,0.823035708,338.2512826,1,0,0.025960586,0.196962066,0,0,12.32479709,2.922118243,0.935077838,0
1.577480985,2.15496197,0,0,3.15496197,0.577480985,0,0,1.577480985,2,7.464885909,0.577480985,0,0.577480985,0.855629754,0,0,3.288740492,0,0,0
4.674513765,1,0,4.337256882,17.66862844,0.331371559,2.674513765,1.662743118,4.674513765,0.662743118,82.96468806,0.668628441,0,0,0.416421445,0,0,23.20944263,2,1.111460361,0
17.9690221,1,0,28.30809567,31.85886769,94.49227973,26.0481986,2.259897063,16.70912504,0.498709254,247.0861035,1,0,0,0.253559922,0,0,12.22942069,2.629948532,1.036489639,0
